0,13,14
231,220,239
146,129,162
194,193,207
12,0,11
12,13,0
24,25,10
232,231,239
221,231,222
231,221,220
238,230,229
146,130,129
41,74,92
74,41,57
220,208,207
218,230,219
238,237,244
111,94,93
111,93,162
129,111,162
73,74,57
92,110,128
110,127,128
74,91,92
40,41,25
178,163,162
112,111,129
179,178,193
235,241,242
241,235,234
135,136,118
136,119,118
26,12,11
27,12,26
28,12,27
12,28,13
98,97,114
115,98,114
81,63,80
63,81,64
98,79,97
79,98,80
63,79,80
79,63,62
176,192,177
176,191,192
173,158,157
158,173,174
172,173,156
173,157,156
69,87,70
87,69,86
54,69,70
69,54,53
138,153,154
153,138,137
209,221,210
210,221,222
230,238,244
230,244,219
61,79,62
79,61,78
75,59,58
59,75,76
167,150,166
150,167,151
94,75,93
75,94,76
77,59,76
59,77,60
61,77,78
77,61,60
94,77,76
77,94,95
96,79,78
79,96,97
96,77,95
77,96,78
97,96,114
96,113,114
82,99,100
81,99,82
99,81,80
98,99,80
16,32,17
32,16,31
17,4,3
4,17,18
5,19,6
6,19,20
4,19,5
19,4,18
47,32,31
32,47,48
47,63,64
48,47,64
136,120,119
120,136,137
119,102,118
118,102,101
84,102,85
102,103,85
120,102,119
102,120,103
161,160,177
160,176,177
191,206,192
205,206,191
39,54,55
54,39,38
39,23,38
23,39,24
71,54,70
54,71,55
71,56,55
56,71,72
233,241,234
233,240,241
240,233,239
233,232,239
233,223,232
223,233,224
223,210,222
223,211,210
231,223,222
232,223,231
167,152,151
152,167,168
152,136,135
152,135,151
152,168,169
153,152,169
136,152,137
152,153,137
181,167,166
167,181,182
208,221,209
221,208,220
208,195,194
208,194,207
183,167,182
167,183,168
168,183,169
183,184,169
208,196,195
196,208,209
196,183,182
183,196,197
181,196,182
196,181,195
196,209,210
197,196,210
198,185,184
185,198,199
198,183,197
183,198,184
198,197,210
211,198,210
153,170,154
170,153,169
184,170,169
185,170,184
173,188,174
188,189,174
189,188,203
188,202,203
212,198,211
198,212,199
223,212,211
212,223,224
233,225,224
225,233,234
225,212,224
212,225,213
235,225,234
225,235,226
214,225,226
225,214,213
206,218,219
218,206,205
28,43,44
43,28,27
43,26,42
43,27,26
43,59,60
43,60,44
58,43,42
59,43,58
131,132,115
131,115,114
131,130,146
131,146,147
113,131,114
130,131,113
148,131,147
131,148,132
135,134,151
134,150,151
2,16,17
2,17,3
15,1,0
15,0,14
15,2,1
2,15,16
138,121,137
121,120,137
90,73,89
73,72,89
73,56,72
56,73,57
110,126,127
126,110,109
91,73,90
73,91,74
110,91,109
91,110,92
158,141,157
141,158,142
157,141,156
141,140,156
189,190,174
174,190,175
176,190,191
190,176,175
190,189,203
204,190,203
190,205,191
190,204,205
9,23,24
9,24,10
39,40,24
24,40,25
40,39,55
56,40,55
40,56,57
41,40,57
106,88,105
88,87,105
87,88,70
88,71,70
72,88,89
71,88,72
195,180,194
181,180,195
200,212,213
212,200,199
214,200,213
200,214,201
200,185,199
200,186,185
170,171,154
154,171,155
171,172,156
155,171,156
171,170,185
186,171,185
187,171,186
171,187,172
200,187,186
187,200,201
188,187,202
202,187,201
187,173,172
187,188,173
202,215,203
215,216,203
215,214,226
227,215,226
215,202,201
214,215,201
216,217,203
217,204,203
217,218,205
204,217,205
230,217,229
218,217,230
235,236,226
236,227,226
243,236,242
236,235,242
236,243,244
237,236,244
228,215,227
215,228,216
217,228,229
228,217,216
228,236,237
236,228,227
228,238,229
228,237,238
163,148,147
148,163,164
146,163,147
163,146,162
112,96,95
96,112,113
112,130,113
130,112,129
94,112,95
111,112,94
81,65,64
65,81,82
83,82,100
83,100,101
102,83,101
83,102,84
83,65,82
65,83,66
148,133,132
133,148,149
134,133,150
150,133,149
16,30,31
15,30,16
122,123,106
122,106,105
103,104,85
104,86,85
104,87,86
87,104,105
120,104,103
121,104,120
104,122,105
122,104,121
88,107,89
107,88,106
21,7,6
21,6,20
36,21,35
35,21,20
83,67,66
67,83,84
148,165,149
165,148,164
150,165,166
165,150,149
165,181,166
165,180,181
163,179,164
179,163,178
165,179,180
179,165,164
180,179,194
179,193,194
32,33,17
17,33,18
116,98,115
116,99,98
132,116,115
133,116,132
60,45,44
61,45,60
139,138,154
139,154,155
140,139,156
139,155,156
139,121,138
139,122,121
122,139,123
123,139,140
160,159,176
176,159,175
159,158,174
159,174,175
158,159,142
159,143,142
159,144,143
144,159,160
144,145,128
127,144,128
144,161,145
144,160,161
126,144,127
143,144,126
91,108,109
108,91,90
108,90,89
107,108,89
37,54,38
54,37,53
37,52,53
52,37,36
34,35,20
19,34,20
34,19,18
33,34,18
49,48,64
65,49,64
49,32,48
49,33,32
117,135,118
117,134,135
117,118,101
100,117,101
117,133,134
117,116,133
99,117,100
116,117,99
29,15,14
29,30,15
28,29,13
13,29,14
29,28,44
45,29,44
46,29,45
29,46,30
63,46,62
47,46,63
46,47,31
30,46,31
46,61,62
46,45,61
143,125,142
125,143,126
125,126,109
108,125,109
7,22,8
21,22,7
9,22,23
22,9,8
22,21,36
37,22,36
23,22,38
22,37,38
51,36,35
51,52,36
68,84,85
68,67,84
86,68,85
69,68,86
51,68,52
68,51,67
68,69,53
52,68,53
123,124,106
124,107,106
141,124,140
124,123,140
124,108,107
124,125,108
124,141,142
125,124,142
50,34,33
49,50,33
50,65,66
50,49,65
34,50,35
50,51,35
67,50,66
51,50,67
